"Week","n","pct","app"
1,9,3.24909747292419,"1"
2,12,4.33212996389892,"1"
3,2,0.72202166064982,"1"
4,5,1.80505415162455,"1"
5,1,0.36101083032491,"1"
6,4,1.44404332129964,"1"
7,3,1.08303249097473,"1"
8,5,1.80505415162455,"1"
9,6,2.16606498194946,"1"
10,4,1.44404332129964,"1"
11,5,1.80505415162455,"1"
12,5,1.80505415162455,"1"
13,6,2.16606498194946,"1"
14,2,0.72202166064982,"1"
15,4,1.44404332129964,"1"
16,7,2.52707581227437,"1"
17,6,2.16606498194946,"1"
18,7,2.52707581227437,"1"
19,10,3.6101083032491,"1"
20,6,2.16606498194946,"1"
21,2,0.72202166064982,"1"
22,3,1.08303249097473,"1"
23,4,1.44404332129964,"1"
24,12,4.33212996389892,"1"
25,5,1.80505415162455,"1"
26,7,2.52707581227437,"1"
27,4,1.44404332129964,"1"
28,4,1.44404332129964,"1"
29,7,2.52707581227437,"1"
30,6,2.16606498194946,"1"
31,4,1.44404332129964,"1"
32,6,2.16606498194946,"1"
33,7,2.52707581227437,"1"
34,4,1.44404332129964,"1"
35,6,2.16606498194946,"1"
36,5,1.80505415162455,"1"
37,3,1.08303249097473,"1"
38,5,1.80505415162455,"1"
39,5,1.80505415162455,"1"
40,3,1.08303249097473,"1"
41,2,0.72202166064982,"1"
42,9,3.24909747292419,"1"
43,4,1.44404332129964,"1"
44,7,2.52707581227437,"1"
45,3,1.08303249097473,"1"
46,6,2.16606498194946,"1"
47,6,2.16606498194946,"1"
48,4,1.44404332129964,"1"
49,2,0.72202166064982,"1"
50,1,0.36101083032491,"1"
51,7,2.52707581227437,"1"
52,14,5.05415162454874,"1"
53,1,0.36101083032491,"1"
1,135,1.65745856353591,"2"
2,116,1.42418661755678,"2"
3,123,1.51012891344383,"2"
4,130,1.59607120933088,"2"
5,130,1.59607120933088,"2"
6,138,1.69429097605893,"2"
7,146,1.79251074278699,"2"
8,143,1.75567833026397,"2"
9,165,2.02578268876611,"2"
10,146,1.79251074278699,"2"
11,130,1.59607120933088,"2"
12,128,1.57151626764886,"2"
13,145,1.78023327194598,"2"
14,110,1.35052179251074,"2"
15,150,1.84162062615101,"2"
16,136,1.66973603437692,"2"
17,139,1.70656844689994,"2"
18,127,1.55923879680786,"2"
19,178,2.1853898096992,"2"
20,154,1.89073050951504,"2"
21,137,1.68201350521793,"2"
22,147,1.80478821362799,"2"
23,162,1.98895027624309,"2"
24,152,1.86617556783303,"2"
25,170,2.08717004297115,"2"
26,166,2.03806015960712,"2"
27,185,2.27133210558625,"2"
28,142,1.74340085942296,"2"
29,172,2.11172498465316,"2"
30,179,2.19766728054021,"2"
31,167,2.05033763044813,"2"
32,204,2.50460405156538,"2"
33,194,2.38182934315531,"2"
34,162,1.98895027624309,"2"
35,183,2.24677716390424,"2"
36,182,2.23449969306323,"2"
37,175,2.14855739717618,"2"
38,182,2.23449969306323,"2"
39,175,2.14855739717618,"2"
40,123,1.51012891344383,"2"
41,150,1.84162062615101,"2"
42,173,2.12400245549417,"2"
43,198,2.43093922651934,"2"
44,184,2.25905463474524,"2"
45,151,1.85389809699202,"2"
46,175,2.14855739717618,"2"
47,168,2.06261510128913,"2"
48,153,1.87845303867403,"2"
49,172,2.11172498465316,"2"
50,155,1.90300798035605,"2"
51,157,1.92756292203806,"2"
52,150,1.84162062615101,"2"
53,31,0.380601596071209,"2"
1,67,1.61992263056093,"3"
2,118,2.85299806576402,"3"
3,102,2.46615087040619,"3"
4,101,2.44197292069632,"3"
5,114,2.75628626692456,"3"
6,113,2.7321083172147,"3"
7,123,2.97388781431335,"3"
8,96,2.321083172147,"3"
9,85,2.05512572533849,"3"
10,95,2.29690522243714,"3"
11,77,1.86170212765957,"3"
12,65,1.5715667311412,"3"
13,71,1.71663442940039,"3"
14,82,1.9825918762089,"3"
15,75,1.81334622823985,"3"
16,83,2.00676982591876,"3"
17,77,1.86170212765957,"3"
18,82,1.9825918762089,"3"
19,59,1.42649903288201,"3"
20,89,2.15183752417795,"3"
21,68,1.64410058027079,"3"
22,74,1.78916827852998,"3"
23,70,1.69245647969052,"3"
24,89,2.15183752417795,"3"
25,82,1.9825918762089,"3"
26,76,1.83752417794971,"3"
27,65,1.5715667311412,"3"
28,82,1.9825918762089,"3"
29,64,1.54738878143133,"3"
30,99,2.3936170212766,"3"
31,98,2.36943907156673,"3"
32,101,2.44197292069632,"3"
33,106,2.56286266924565,"3"
34,94,2.27272727272727,"3"
35,92,2.22437137330754,"3"
36,83,2.00676982591876,"3"
37,56,1.35396518375242,"3"
38,75,1.81334622823985,"3"
39,77,1.86170212765957,"3"
40,70,1.69245647969052,"3"
41,80,1.93423597678917,"3"
42,48,1.1605415860735,"3"
43,61,1.47485493230174,"3"
44,61,1.47485493230174,"3"
45,56,1.35396518375242,"3"
46,54,1.30560928433269,"3"
47,61,1.47485493230174,"3"
48,39,0.94294003868472,"3"
49,72,1.74081237911025,"3"
50,61,1.47485493230174,"3"
51,76,1.83752417794971,"3"
52,61,1.47485493230174,"3"
53,11,0.265957446808511,"3"
1,12,1.14942528735632,"4"
2,19,1.81992337164751,"4"
3,15,1.4367816091954,"4"
4,16,1.53256704980843,"4"
5,11,1.0536398467433,"4"
6,17,1.62835249042146,"4"
7,11,1.0536398467433,"4"
8,13,1.24521072796935,"4"
9,12,1.14942528735632,"4"
10,11,1.0536398467433,"4"
11,19,1.81992337164751,"4"
12,15,1.4367816091954,"4"
13,12,1.14942528735632,"4"
14,16,1.53256704980843,"4"
15,6,0.574712643678161,"4"
16,10,0.957854406130268,"4"
17,11,1.0536398467433,"4"
18,12,1.14942528735632,"4"
19,11,1.0536398467433,"4"
20,12,1.14942528735632,"4"
21,22,2.10727969348659,"4"
22,22,2.10727969348659,"4"
23,18,1.72413793103448,"4"
24,30,2.8735632183908,"4"
25,32,3.06513409961686,"4"
26,33,3.16091954022989,"4"
27,30,2.8735632183908,"4"
28,32,3.06513409961686,"4"
29,33,3.16091954022989,"4"
30,29,2.77777777777778,"4"
31,25,2.39463601532567,"4"
32,40,3.83141762452107,"4"
33,33,3.16091954022989,"4"
34,28,2.68199233716475,"4"
35,33,3.16091954022989,"4"
36,26,2.4904214559387,"4"
37,30,2.8735632183908,"4"
38,18,1.72413793103448,"4"
39,24,2.29885057471264,"4"
40,22,2.10727969348659,"4"
41,18,1.72413793103448,"4"
42,37,3.54406130268199,"4"
43,24,2.29885057471264,"4"
44,19,1.81992337164751,"4"
45,24,2.29885057471264,"4"
46,10,0.957854406130268,"4"
47,14,1.34099616858238,"4"
48,14,1.34099616858238,"4"
49,15,1.4367816091954,"4"
50,20,1.91570881226054,"4"
51,16,1.53256704980843,"4"
52,10,0.957854406130268,"4"
53,2,0.191570881226054,"4"
1,543,1.50249031543996,"5"
2,481,1.33093525179856,"5"
3,545,1.50802434975097,"5"
4,588,1.62700608743774,"5"
5,491,1.35860542335362,"5"
6,659,1.82346430547869,"5"
7,562,1.55506364139458,"5"
8,544,1.50525733259546,"5"
9,525,1.45268400664084,"5"
10,519,1.4360819037078,"5"
11,575,1.59103486441616,"5"
12,549,1.51909241837299,"5"
13,506,1.40011068068622,"5"
14,749,2.07249584947427,"5"
15,559,1.54676258992806,"5"
16,517,1.43054786939679,"5"
17,481,1.33093525179856,"5"
18,488,1.35030437188711,"5"
19,486,1.34477033757609,"5"
20,536,1.48312119535141,"5"
21,589,1.62977310459325,"5"
22,566,1.5661317100166,"5"
23,562,1.55506364139458,"5"
24,708,1.95904814609851,"5"
25,963,2.66463752075263,"5"
26,965,2.67017155506364,"5"
27,903,2.49861649142225,"5"
28,948,2.62313226342003,"5"
29,887,2.45434421693414,"5"
30,834,2.30769230769231,"5"
31,847,2.34366353071389,"5"
32,981,2.71444382955174,"5"
33,978,2.70614277808522,"5"
34,981,2.71444382955174,"5"
35,978,2.70614277808522,"5"
36,925,2.55949086884339,"5"
37,798,2.20807969009408,"5"
38,766,2.11953514111787,"5"
39,724,2.00332042058661,"5"
40,668,1.84836745987825,"5"
41,687,1.90094078583287,"5"
42,645,1.7847260653016,"5"
43,695,1.92307692307692,"5"
44,772,2.13613724405091,"5"
45,855,2.36579966795794,"5"
46,755,2.0890979524073,"5"
47,786,2.174875484228,"5"
48,752,2.08079690094079,"5"
49,588,1.62700608743774,"5"
50,638,1.76535694521306,"5"
51,711,1.96734919756503,"5"
52,643,1.77919203099059,"5"
53,139,0.384615384615385,"5"
1,680,2.09559616629172,"6"
2,500,1.54087953403803,"6"
3,509,1.56861536565071,"6"
4,440,1.35597398995347,"6"
5,647,1.99389811704521,"6"
6,605,1.86446423618601,"6"
7,568,1.7504391506672,"6"
8,514,1.58402416099109,"6"
9,547,1.6857222102376,"6"
10,720,2.21886652901476,"6"
11,635,1.9569170082283,"6"
12,679,2.09251440722364,"6"
13,624,1.92301765847946,"6"
14,512,1.57786064285494,"6"
15,588,1.81207433202872,"6"
16,480,1.47924435267651,"6"
17,427,1.31591112206848,"6"
18,417,1.28509353138772,"6"
19,518,1.5963511972634,"6"
20,463,1.42685444851921,"6"
21,558,1.71962155998644,"6"
22,600,1.84905544084563,"6"
23,519,1.59943295633147,"6"
24,518,1.5963511972634,"6"
25,500,1.54087953403803,"6"
26,520,1.60251471539955,"6"
27,669,2.06169681654288,"6"
28,560,1.72578507812259,"6"
29,626,1.92918117661561,"6"
30,781,2.4068538321674,"6"
31,608,1.87370951339024,"6"
32,560,1.72578507812259,"6"
33,575,1.77201146414373,"6"
34,731,2.2527658787636,"6"
35,730,2.24968411969552,"6"
36,524,1.61484175167185,"6"
37,916,2.82289130635767,"6"
38,656,2.02163394865789,"6"
39,623,1.91993589941138,"6"
40,681,2.0986779253598,"6"
41,973,2.998551573238,"6"
42,724,2.23119356528707,"6"
43,753,2.32056457826127,"6"
44,1036,3.1927023945268,"6"
45,648,1.99697987611329,"6"
46,683,2.10484144349595,"6"
47,617,1.90144534500293,"6"
48,599,1.84597368177756,"6"
49,700,2.15723134765324,"6"
50,586,1.80591081389257,"6"
51,639,1.9692440445006,"6"
52,819,2.52396067675429,"6"
53,144,0.443773305802952,"6"
1,503,1.65536760350161,"7"
2,560,1.84295399196999,"7"
3,474,1.55992891463174,"7"
4,563,1.85282695978411,"7"
5,514,1.69156848548674,"7"
6,562,1.84953597051274,"7"
7,599,1.97130257355361,"7"
8,683,2.24774567234911,"7"
9,588,1.93510169156849,"7"
10,622,2.04699532679523,"7"
11,552,1.81662607779899,"7"
12,559,1.83966300269861,"7"
13,554,1.82320805634174,"7"
14,508,1.67182254985849,"7"
15,573,1.88573685249786,"7"
16,527,1.73435134601461,"7"
17,477,1.56980188244586,"7"
18,435,1.43158033304811,"7"
19,577,1.89890080958336,"7"
20,575,1.89231883104061,"7"
21,625,2.05686829460936,"7"
22,836,2.75126703086948,"7"
23,749,2.46495096425986,"7"
24,664,2.18521687619298,"7"
25,526,1.73106035674324,"7"
26,511,1.68169551767261,"7"
27,569,1.87257289541236,"7"
28,481,1.58296583953136,"7"
29,353,1.16171921279537,"7"
30,409,1.34601461199236,"7"
31,338,1.11235437372474,"7"
32,375,1.23412097676562,"7"
33,349,1.14855525570987,"7"
34,408,1.34272362272099,"7"
35,442,1.45461725794774,"7"
36,349,1.14855525570987,"7"
37,502,1.65207661423024,"7"
38,773,2.54393470677286,"7"
39,753,2.47811492134536,"7"
40,700,2.30369248996248,"7"
41,628,2.06674126242348,"7"
42,627,2.06345027315211,"7"
43,847,2.7874679128546,"7"
44,814,2.67886526689923,"7"
45,831,2.7348120845126,"7"
46,750,2.46824195353123,"7"
47,847,2.7874679128546,"7"
48,703,2.31356545777661,"7"
49,732,2.40900414664648,"7"
50,621,2.04370433752386,"7"
51,614,2.02066741262423,"7"
52,574,1.88902784176924,"7"
53,81,0.266570130981373,"7"
1,316,1.46520146520147,"8"
2,336,1.55793573515093,"8"
3,680,3.15296517828163,"8"
4,392,1.81759169100941,"8"
5,487,2.25807947326935,"8"
6,404,1.87323225297909,"8"
7,252,1.16845180136319,"8"
8,387,1.79440812352205,"8"
9,330,1.53011545416609,"8"
10,310,1.43738118421663,"8"
11,408,1.89177910696898,"8"
12,476,2.20707562479714,"8"
13,388,1.79904483701952,"8"
14,398,1.84541197199425,"8"
15,351,1.62748643761302,"8"
16,392,1.81759169100941,"8"
17,350,1.62284972411555,"8"
18,392,1.81759169100941,"8"
19,338,1.56720916214587,"8"
20,380,1.76195112903974,"8"
21,346,1.60430287012565,"8"
22,373,1.72949413455743,"8"
23,318,1.47447489219641,"8"
24,387,1.79440812352205,"8"
25,494,2.29053646775166,"8"
26,658,3.05095748133723,"8"
27,443,2.05406407938053,"8"
28,473,2.19316548430472,"8"
29,431,1.99842351741086,"8"
30,648,3.0045903463625,"8"
31,589,2.73102425001159,"8"
32,535,2.48064172114805,"8"
33,490,2.27198961376177,"8"
34,515,2.38790745119859,"8"
35,443,2.05406407938053,"8"
36,579,2.68465711503686,"8"
37,414,1.91959938795382,"8"
38,485,2.2488060462744,"8"
39,472,2.18852877080725,"8"
40,433,2.00769694440581,"8"
41,409,1.89641582046645,"8"
42,366,1.69703714007511,"8"
43,456,2.11434135484768,"8"
44,356,1.65067000510038,"8"
45,349,1.61821301061807,"8"
46,368,1.70631056707006,"8"
47,306,1.41883433022674,"8"
48,307,1.42347104372421,"8"
49,303,1.40492418973432,"8"
50,315,1.46056475170399,"8"
51,385,1.7851346965271,"8"
52,294,1.36319376825706,"8"
53,60,0.278202809848379,"8"
